id,title,difficulty,portion,time,description,ingredients0,ingredients1,ingredients2,ingredients3,ingredients4,ingredients5,ingredients6,ingredients7,ingredients8,ingredients9,ingredients10,ingredients11,ingredients12,image,Step1,Step2,Step3,Step4,Step5,Step6
33,Piña colada,Easy,Makes 4,5 min,"Celebrate good times with this classic pina colada cocktail recipe: a tropical blend of pineapple, coconut cream and white rum.",120ml white rum,200ml pineapple juice,"5 tbsp tinned cream of coconut (ideally Coco Lopez, from lakeland.co.uk",Crushed ice,4 tbsp golden rum,4 maraschino cherries,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/33.jpg,"Mix the white rum, pineapple juice and coconut cream with the crushed ice in a large glass jug.","Pour into 4 glasses and top up with 1 tbsp golden rum in each, letting it sink down into the drink. Top with a maraschino cherry to serve.",,,,
34,Secret garden cocktail,Easy,Serves 1,2 min,Discover the restorative powers of nature (and gin!) in minutes with this easy-to-make cocktail. The sweet and tart blackcurrant sirop is mixed with gin and fiery ginger beer for a grown-up garden tipple.,50ml Blissfully Blackcurrant Sirop,Juice ½ lime,A few fresh mint sprigs,50ml gin,Ice to serve,175ml fiery ginger beer (we like Fentimans),,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/34.jpg,"Pour the blackcurrant sirop into a glass, squeeze in the lime juice, then add the squeezed-out lime half to the glass along with the mint. Muddle together (with the handle end of a wooden spoon or cocktail muddler), then pour in the gin and mix to combine.","Fill the glass with ice, top up with ginger beer and serve without delay – preferably in the garden.",,,,
35,Orange and rosemary sgroppino,Easy,Serves 1 (makes enough sorbet for 6-8 cocktails),"Hands-on time 20 min, plus chilling and freezing","Take your cocktail-making skills to the next level with this fresh and herbal gin-based cocktail, served with citrusy sorbet and a dash of Prosecco for a bubbly hit.",70g caster sugar,480ml fresh orange juice,4-6 fresh rosemary sprigs,4 tbsp Gin Mare gin,1 scoop orange and rosemary sorbet,2 tbsp Gin Mare gin,75-100ml prosecco,1 fresh rosemary sprig,Ice cream machine,,,,,https://apipics.s3.amazonaws.com/coctails_api/35.jpg,"To make the sorbet, put the sugar and 2 tbsp water in a small saucepan and heat slowly over a low heat until the sugar has dissolved.","Once the sugar has dissolved, pour in the orange juice and add the rosemary sprigs. Bring the mixture to a simmer and bubble very gently for 10 minutes. Remove from the heat, pour in the 4 tbsp Gin Mare gin, cool completely, then chill for 1 hour.","Remove the rosemary sprigs, then pour the mixture into an ice cream machine. Churn to a sorbet according to manufacturer’s instructions. If you don’t have an ice cream maker, pour the mixture into a freezer-proof container and freeze for 4-6 hours, whisking with a fork every 45 minutes to break up the ice crystals.","To make the cocktail, put a scoop of sorbet in a glass, pour over the 2 tbsp Gin Mare, top up with the prosecco and garnish with a rosemary sprig.",,
36,Elderflower prosecco with cucumber,Easy,Serves 8,Hands-on time 10 min,"Complete any summer party with this light elderflower prosecco cocktail, garnished with cucumber ribbons for extra freshness. Try our elderflower fizz too, for a low-alcohol alternative.",½ large cucumber,Ice cubes to serve,180ml elderflower cordial,750ml bottle prosecco,300ml tonic water or sparkling water,Small handful fresh mint leaves,"2 limes, cut into wedges",,,,,,,https://apipics.s3.amazonaws.com/coctails_api/36.jpg,"Slice the cucumber lengthways, then use a teaspoon to scrape out and discard the seeds. Peel the cucumber into long, thin ribbons using a Y-shaped peeler (or slice thinly with a sharp knife).","Fill 8 tall glasses with ice, divide the elderflower cordial, prosecco and tonic water equally among the glasses, then add the cucumber ribbons/slices and mint leaves. ","Squeeze over the lime wedges, then drop into the glasses. Swirl to mix. Serve with spiced nuts or crisps.",,,
37,Gin caipirinha,Easy,Serves 1,Ready in 5 minutes,"Instead of cachaça, this zesty caipirinha recipe is made with gin; a great balance for the citric nature of the lime and the floral aspect of the honey.","50ml gin, such as Sipsmith London Dry Gin","½ lime, cut into quarters",2 tablespoons honey,,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/37.jpg,Combine the lime wedges and honey in an empty glass and muddle/squash to release the juices. Fill the glass with ice and add the gin.,Transfer the contents into a cocktail shaker and shake vigorously. Return to the original glass.,,,,
38,Gin pom,Easy,Serves 1,Ready in 5 minutes,"Gin, fresh pomegranate juice and soda water are combined in this easy-to-make cocktail recipe from Sipsmith.","50ml gin, such as Sipsmith London Dry Gin",50ml fresh pomegranate juice,"Soda water or sparkling wine, to top up","A lemon half wheel and/or pomegranate seeds, to garnish",,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/38.jpg,"Combine the ingredients in an ice-filled highball glass, mix, then garnish with a lemon or pomegranate seeds.",,,,,
39,Gin espresso martini,Easy,Serves 1,Ready in 5 minutes,"Calling all gin fans! (We know there are A LOT of you!) Sipsmith have reinvented the espresso martini, replacing the vodka with gin and they think it’s the best ever.","50ml gin, such Sipsmith London Dry Gin",25ml espresso,"25ml coffee liqueur, triple sec or simple syrup (see tips)","3 coffee beans or an orange twist, to garnish",,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/39.jpg,"Combine the ingredients in an ice-filled cocktail shaker. Shake very well. Look for the ‘crema’, as baristas call the foam on top of a good espresso, built by shaking the drink a little harder than other drinks.",Strain into a chilled cocktail glass. Garnish with coffee beans or an orange twist.,,,,
40,Boozy peach iced tea,Easy,Serves 6,Hands-on time 10 min,"A super-easy cocktail recipe for a crowd, our alcoholic peach tea recipe – made with peach schnapps – is a real summertime treat. Enjoy alfresco at a barbecue or picnic.",5 peach tea bags,1.3 litres lemonade (see tips),200ml peach schnapps,A handful of fresh mint leaves,3 sliced peaches,"1 lime, cut into wedges","Ice, to serve",,,,,,,https://apipics.s3.amazonaws.com/coctails_api/40.jpg,"Put the teabags in a large jug and pour over the lemonade and peach schnapps. Add the mint, peaches and lime wedges. Stir well, leave to infuse for10 minutes, then scoop out the tea bags and discard.","Add 2 large handfuls of ice cubes to the jug, then serve.",,,,
41,Cucumber and basil cocktail,Easy,Serves 10,"Hands-on time 10 min, plus cooling","A non-alcoholic cocktail – made with cucumber, basil and lemon – is the perfect summertime thirst quencher. Serve at your next alfresco feast.","1 medium cucumber, sliced",250ml lemon juice from 6-7 lemons,180g caster sugar,Bunch fresh basil,Sparkling or still water to serve,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/41.jpg,"Put most of the cucumber in a large pan with the lemon juice and caster sugar, then tear in most of the basil. Gently simmer until the sugar has dissolved.","After a few minutes, remove from the heat and set aside to cool. Once completely cool, strain through a fine sieve, pour into a clean bottle or jar and seal securely.","Serve topped up with still or sparkling water, garnished with the remaining cucumber slices and basil leaves (or see Make Ahead).",,,
42,Elderflower fizz,Easy,Makes about 3 litres,"Hands-on time 10 min, plus infusing and fermenting ","This summer refresher is easier to make than you might think. A light and fragrant drink, it’s a fantastic alternative to shop-bought bubbly, and has hardly any alcohol.",8 elderflower heads,Pared zest and juice 1 small lemon,465g caster sugar,4 tsp white wine vinegar,Muslin,"2 x 2 litre plastic drinks bottles (see bottling tips, below)",Large funnel,Glass bottles for decanting before serving – optional,,,,,,https://apipics.s3.amazonaws.com/coctails_api/42.jpg,"Give the freshly picked elderflower heads a shake, then inspect and remove any insects. Put the elderflowers in a large bowl, add the lemon juice and toss with the pared zest, sugar and vinegar. Gently pour over 3 litres tepid water and stir to dissolve the sugar. Put in a cool dark place, loosely covered with fine muslin, for 24 hours to infuse.","Working in batches, strain the mixture into a jug through fine muslin, then pour into the plastic bottles using the funnel. Leave a generous gap of about 5cm at the top of each bottle and seal tightly.","Leave to ferment in a cool dark place for 2 weeks, checking on it regularly and ‘burping’ the bottles if necessary, then transfer to the fridge (see Make Ahead). Serve chilled. It will be around 1.5% ABV (alcohol by volume).",,,
43,Negroni punch,Easy,SErves 8,Ready in 20 mins,We’ve take a classic negroni recipe but increased the quantities (and added a little spritz) to make a party-ready punch recipe for eight people.,2 sliced oranges,4 tbsp caster sugar,150ml dry gin,250ml Campari,250ml sweet (red) vermouth,1.5 litres chilled soda water (or 750ml soda water and 750ml prosecco),,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/43.jpg,"Put the oranges in a large jug with the sugar and gin. Muddle together using the end of a rolling pin or cocktail muddler, then leave for at least 15 minutes.","To serve, pour in the Campari and vermouth and mix. Top up with the soda water (or  soda water and prosecco), then pour into tumblers filled with ice and a slice of orange.",,,,
44,Peach and prosecco spritz,Easy,Serves 6,Hands-on time 5 min,"If you’re after a true summer’s day cocktail, this seasonal spritz contains blitzed peaches, lemon juice, sugar and of course, a splash of prosecco. This recipe makes six servings – perfect for that dinner party you might be planning.","2 ripe peaches, stoned and diced",2 tsp lemon juice,1/2 tsp caster sugar,Bottle of prosecco,Handful of fresh basil leaves,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/44.jpg,"Put the peaches, lemon juice and sugar in a food processor or blender and whizz until smooth.","Pass the purée through a sieve (discard the solids), then divide among 6 champagne coupe glasses.",Top up with chilled prosecco and garnish with fresh basil leaves.,,,
45,Aperol spritz,Easy,Serves 6-8,Hands-on time 5 min,Get into the spirit of summer with this classic Italian recipe. Chilled prosecco and Aperol come together to create the beloved Aperol spritz.,750ml bottle of prosecco,Bag of ice,Bottle of Aperol,Bottle of soda water,Slice of orange,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/45.jpg,Chill the bottle of prosecco and Aperol in the fridge.,Fill 6 or 8 wine glasses or tall tumblers with a couple of ice cubes and roughly three parts prosecco to one part Aperol.,Add a splash of soda water and a slice of orange. Serve straightaway so that the fizz stays lively.,,,
46,Classic negroni cocktail,Easy,Serves 1,Hands-on time 5 min,Learn how to make this classic aperitif cocktail and serve alongside some delicious antipasti on a warm summer’s evening.,Handful ice cubes,40ml gin,40ml Campari,40ml sweet red vermouth (such as Martini Rosso),Orange slice,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/46.jpg,"Half-fill a short, heavy glass tumbler with ice cubes, then add the gin, Campari and sweet red vermouth.","Stir gently to combine, then add a thin orange slice or twist of pared orange zest to decorate.",,,,
47,Paloma cocktail,Easy,1,Ready in 5 mins,Transport yourself to a cantina in Mexico with our paloma recipe – a tequila cocktail with pink grapefruit and lime. It’s the perfect drink for a Mexican feast.,"50ml tequila, such as Patrón Reposado","10ml fresh lime juice (about ½ lime), plus an (optional) wedge to wet the glass rim",10ml agave syrup,200ml bottle Franklin & Sons Pink Grapefruit Soda (or a mixture of 60ml fresh grapefruit juice and 140ml regular soda water),Pink grapefruit slice or wedge to serve,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/47.jpg,"Rim a tumbler with salt (optional) by wetting the rim with a lime wedge, then dipping it in a saucer of salt. Fill the tumbler with ice, add the tequila, lime juice and agave syrup, then stir well.","Top up with Franklin & Sons Pink Grapefruit Soda (or a mixture of fresh grapefruit and juice and soda water), then garnish with a slice or wedge of grapefruit and serve.",,,,
48,Super-easy rhubarb vodka,Easy,Makes 1.2 litres,"Hands-on time 5 min, plus 4 days steeping/infusing",Add vibrant rhubarb to vodka for a pretty pink cocktail. Our super easy recipe uses just four ingredients; all you need is patience while it steeps and infuses.,"600g rhubarb, chopped into thin slices",200g caster sugar,A few strips of orange zest,1 litre vodka,"A Sterilised 1.5 litre glass jar with an airtight seal, such as a Kilner jar",A sterilised glass bottle with a top,A square of muslin or a clean j-cloth,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/48.jpg,"Put the rhubarb into your sterilised jar. Add the caster sugar, orange zest and vodka. Seal and store in a dark cupboard for 1-2 weeks, turning or gently shaking every now and then to dissolve the sugar and mix up the rhubarb.","Strain the vodka through a square of muslin or a new J-cloth, then transfer to the sterilised glass bottle and seal.","Serve chilled in shot glasses, martini glasses or small champagne coupes, or in highball glasses with ice, topped up with ginger ale or tonic water.",,,
49,Hot buttered rum,Easy,Serves 4,Hands-on time 5 min,"Hot, buttery and fiery with ginger, these boozy hot toddys pack a serious punch. Curl up with this warming drink, garnished with fresh lemon slices, next to a roaring fire in the winter.",150ml dark rum (you can use whisky or brandy if you prefer),200ml Stone’s Ginger Wine,"8 whole cloves, lightly bashed","½ lemon, thinly sliced",3 tbsp light brown soft sugar,200ml boiling water,"1 cinnamon stick, broken in half",25g butter,4 long rosemary sprigs,,,,,https://apipics.s3.amazonaws.com/coctails_api/49.jpg,"Put all the ingredients, apart from the butter and rosemary, in a small pan over a medium heat. Warm, stirring, until the sugar dissolves and the toddy is steaming (don’t boil).","Add the butter and stir until melted. Divide the toddy among heatproof glasses or cups, then add a rosemary sprig to each one. ",,,,
50,Bramble Cocktail,Easy,Makes 6,Ready in 10 min,"A spin on the modern classic, this recipe blends dry gin,  bramble bay jam and fresh lemon to make a refreshing cocktail – the perfect mix of sweet and sour.",6 tbsp bramble and bay jam or a good quality blackberry and apple jam,6 tbsp fresh lemon juice,300ml dry gin,500ml lemonade (we used Fever Tree Sicilian Lemonade),Crushed ice,Fresh blackberries and bay leaves to garnish,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/50.jpg,"In a large cocktail shaker, large jar with a lid or jug, muddle together the jam and lemon juice using a wooden muddler or the handle of a wooden spoon.","Pour over the gin and half the lemonade, then shake/stir well. Fill 6 tumblers with crushed ice, then pour over the cocktail mix and top up with the remaining lemonade.",Garnish each tumbler with a blackberry and bay leaf to serve.,,,
51,Christmas mulled wine,Easy,Serves 6,Ready in 10 minutes,"Not just reserved for Christmas markets, learn how to make mulled wine at home with drinks editor Susy Atkins’ perfect-every-time recipe.","1 bottle fruity, medium-bodied red wine (such as inexpensive Chilean merlot or Argentinian malbec)",3-4 cloves,2 small cinnamon sticks,2cm fresh ginger,"1 large juicy orange, sliced",75g caster sugar,2 tbsp good-quality brandy,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/51.jpg,"In a large pan, slowly warm the wine, cloves, cinnamon sticks, ginger and orange.","As the mixture heats up, add the caster sugar and  brandy, stir, then taste.Add more sugar and/or more brandy, if you like.","Continue to heat until warmed through, but don’t let the mixture boil or the mull will spoil. Ladle (avoiding the whole spices) into heatproof glass tumblers, then hand around while the wine is steaming hot. Make a fresh batch if you need more, rather than reheating any leftovers over 20 minutes old, as the flavours will taste stewed and overly spiced.",,,
52,Pomegranate spritz,Easy,Makes 8,Hands-on time 5 min,A fruity cocktail for a hot summers day. Serve with extra pomegranate seeds.,200ml orange juice,120ml pomegranate juice,150ml gin,3 limes,75cl bottle prosecco (see tip),Pomegranate seeds to serve,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/52.jpg,"Mix together the orange and pomegranate juices, gin and lime juice in a jug (see Make Ahead).","Pour into glasses, top up with prosecco and sprinkle with pomegranate seeds.",,,,
53,Fresh peach bellini,Easy,Serves 6,Hands-on time 5 min,Use fresh peaches in this quick and easy-to-make summery cocktail that’s perfect for alfresco dinner parties in the garden.,"2 ripe peaches, stoned and diced",2 tsp lemon juice,½ tsp caster sugar,Chilled prosecco,"Fresh basil leaves, to serve",,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/53.jpg,"Put the peaches, lemon juice and sugar in a food processor or blender and whizz until smooth.","Pass the purée through a sieve (discard the solids), then divide among 6 champagne glasses.",Top up with chilled prosecco and garnish with fresh basil leaves.,,,
54,Easy bloody Mary,Easy,Serves 1,A few minutes,"An easy Bloody mary cocktail recipe, made with vodka, tomato juice, celery salt and horseradish, is the best hangover cure.",50ml Vodka,Tomato juice,Celery salt,Ground black pepper,Worcestershire sauce,Tabasco sauce,Grated horseradish,Sherry,Lemon (juice),Celery,,,,https://apipics.s3.amazonaws.com/coctails_api/54.jpg,"Fill a tall tumbler with ice, then pour in the vodka. Top up with good-quality chilled tomato juice, then add a pinch each of celery salt and ground black pepper. Shake in a few drops each of Worcestershire sauce and Tabasco sauce, then add a little grated horseradish (fresh or from a jar äóñ but not creamed!) to taste.","Add a splash of sherry (fino is good if you like it dry, or try amontillado if you prefer a richer flavour). Add a squeeze of lemon juice and garnish with a celery stick for stirring.",,,,
55,Three booze-free cocktails,Easy,for lots of people,Ready in a flash,"Call them booze-free, mocktails or non-alcoholic drinks – serve these three up on a summery day for all the non-drinkers at your party",3-4 green tea bags,Honey (to taste),1 cucumber,1 lemon,1 tin of peaches (in syrup),500g frozen raspberries,1 orange,Fresh basil,Fresh mint leaves,Lime juice,50ml elderflower cordial,1 litre sparkling water,,https://apipics.s3.amazonaws.com/coctails_api/55.jpg,"Put 3-4 green tea bags in a jug (oolong and jasmine teas work well too), then pour over 1 litre boiling water. Infuse for 5 minutes or until the liquid is pale yellow, then remove and discard the tea bags. Sweeten with honey to taste, then leave the tea to cool. Add ice cubes and thinly sliced cucumber and lemon to the jug, chill in the fridge, then serve ice cold.","In a food processor, blend 1 tin of peaches and their syrup with 500g frozen raspberries. Add the juice of 1 orange and a splash of water, then whizz again. Pour the cocktail into tall glasses, then garnish each with an orange slice.","Shred fresh basil and mint leaves into ice cube trays, then fill with a mixture of lime juice and water. Freeze until the ice cubes are just frozen (about 2 hours), then blitz in a food processor. In a jug, mix 50ml elderflower cordial with 1 litre sparkling water and a good squeeze of lime juice. Put the crushed herby ice in chilled glasses, then pour over the elderflower fizz.",,,
56,Swedish mint julep,Easy,Serves 4-6,Hands-on time 5 min,"”I like my cocktails strong and bitter or spicy rather than fragrant or sweet, but I find the heady spices in aquavit work well with the freshness of mint in a julep – it’s a great way to use up that bottle between holidays.” – Steffi Knowles-Dellner","2 small bunches fresh mint, leaves picked, with 4-6 leafy sprigs reserved",4-6 tsp caster sugar,"300-450ml quality aquavit, such as OP Anderson (from scandikitchen.co.uk or masterofmalt.com",,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/56.jpg,"Divide the mint leaves and sugar equally among 4-6 tall glasses. Lightly crush the mint with a muddler or wooden spoon. Top with lots of crushed ice and pour over the aquavit. Stir well, then top with more ice and garnish with the reserved mint sprigs.",,,,,
57,Kirsch royale,Easy,Makes 1,Hands-on time 5 min,"Your soon-to-be-favourite festive tipple made with champagne, Kirsch and cherry syrup.",15ml kirsch,30ml cherry syrup,About 90ml champagne or sparkling wine,2 cherries in syrup,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/57.jpg,"Mix the kirsch and syrup in a jug (scale up the quantities according to how many people you’re serving), then pour into champagne glasses or coupes and add two cherries to each glass. Top up with the fizz and serve immediately.",,,,,
58,Marsala glögg (Christmas punch),Easy,Serves 4 - 6,Hands-on time 5 min,"Is this the best Christmas punch? So quick to make, this 5-minute recipe really does taste like Christmas with its warming blend of cinnamon, orange and, of course, brandy.",450ml marsala,450ml water,A splash of brandy (optional),1 vanilla pod,3 small (or 1 large) cinnamon sticks,Pared zest of 1 orange,2 tbsp caster sugar,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/58.jpg,"Put all the ingredients in a medium pan. Stir to dissolve the sugar, then warm over a low heat for 5 minutes (don’t boil) to let the spices infuse the liquid. Serve in heatproof glass mugs.",,,,,
59,Pimm’s fizz,Easy,Serves 1,Ready in less than 5 minutes,"This quick and easy Pimm’s cocktail serves one but it’s easy to make a jug for you and your friends, just multiply the ingredients depending on how many people there are and, instead of serving straight into a glass, pour it into a jug full of ice.","50ml Pimm’s No,1 (25% ABV)",75ml lemonade,25ml sparkling wine (12.5% ABV),1 slice of orange,1 sprig of mint,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/59.jpg,"Fill a large wine glass with ice cubes. Pour in the Pimm’s, pour in all the liquid ingredients then garnish with the orange and mint.",,,,,
60,Elderflower gin and tonic,Easy,Makes 2,Hands-on time 5 min,"A quick and easy cocktail recipe – try our springtime gin and tonic, made with elderflower liqueur and a sprig of fresh herbs.",60ml gin,2 tbsp St Germain elderflower liqueur (from most supermarkets; or use elderflower cordial),200-250ml Fever-Tree elderflower tonic,a sprig of fresh herbs,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/60.jpg,Put 60ml gin and 2 tbsp St Germain elderflower liqueur (from most supermarkets; or use elderflower cordial) into a cocktail shaker with a handful of ice. Stir and strain into glasses. Top up with 200-250ml Fever-Tree elderflower tonic. Serve with a sprig of fresh herbs.,,,,,
61,Cucumber cooler cocktail,Easy,Makes one cocktail,Hands-on time 10 min,Mark Sargeant’s cucumber cocktail recipe is cooling and refreshing – the perfect accompaniment for a hot summers day.,40ml Gin Mare,40ml Cucumber mix (see below),5ml sugar syrup,40ml cava,2 cucumbers,1 cantaloupe melon,10g salt,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/61.jpg,Peel one cucumber and dry the skin out.,Blend the rest with salt and a little water. Pass through a muslin cloth.,"Mix the Gin Mare, cucumber mix and sugar syrup in a mixer.",Strain into a tall glass with fresh cucumber ribbons throughout and dried cucumber skin on top. Top with the cava,,
62,Orchard spritz cocktail,Easy,Makes 1,5 min,"As an alternative to champagne, serve this fruity cocktail at your drinks party.",Calvados,Fruit cordial (such as pear and raspberry or apple and plum),Chilled sparkling wine or champagne,A small fresh rosemary sprig,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/62.jpg,"Pour 1cm calvados into a champagne flute or coupe, with 1cm cordial. Top with chilled sparkling wine or champagne, then garnish with a small fresh rosemary sprig.",,,,,
63,Negroni,Easy,Serves 10,Hands-on time 5 min,"This punchy Italian cocktail, with its classic bitter-sweet flavours, is so easy to make for a Christmas party or New Year’s Eve celebration – or at any other time of year, really.",300ml gin (Plymouth or Martin Miller’s works well),300ml Campari,300ml sweet vermouth (red is traditional but white is fine),"Pared zest of 2 oranges, thinly sliced, to garnish","Pared zest of 2 unwaxed limes, thinly sliced, to garnish (optional)",,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/63.jpg,"Pour all the liquid ingredients into a large glass jug with ice cubes. Stir with a long spoon, then strain into 10 short glasses with a few ice cubes. Briefly stir, then garnish with a twist of orange (and maybe lime) zest.",,,,,
64,The Botanist Fizz,Easy,For one,Hands on time 5 mins,"An easy-to-make cocktail recipe using lavender-infused gin, fresh lemon juice and topped up with prosecco. It’s a perfect drink for a hot summer’s day.",25ml The Botanist Gin infused with lavender (or similar),10ml honey,10ml fresh lemon juice,Top up with prosecco,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/64.jpg,Dry shake The Botanist Gin infusion,Stir honey and lemon juice until honey dissolves well,Add ice and shake well,Pour into a Champagne glass,Top with prosecco,
65,Hugo cocktails,Easy,Serves 1,Hands-on time 5 min,"Learn how to make a Hugo cocktail, and transport yourself to a sunny Italian evening. It’s a refreshing, super-zesty mix of prosecco, gin and elderflower cordial.",1 measure of gin,A glass half-filled with ice,Good splash of elderflower cordial,Several mint leaves,Lime wedge,Prosecco,Soda water,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/65.jpg,"Pour a generous measure of gin into a glass half-filled with ice, then add a good splash of elderflower cordial. Tuck in several mint leaves, squeeze over a lime wedge and drop it in, then top up with prosecco, adding a splash of soda water. Serve immediately.",,,,,
66,Crème de cassis,Easy,Makes 1.3 litres,"Hands-on 20 min, plus 2 hours simmering 2 days resting","Fancy making your own crème de cassis? Here’s the recipe. Serve this sweet blackcurrant liqueur alone, or topped up with chilled white wine.",500g blackcurrants,500ml fruity red wine,750g golden caster sugar,350-400ml eau de vie or brandy,,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/66.jpg,"Crush the blackcurrants in a bowl with the back of a fork. Stir in the red wine, crushing the fruit again. Cover and leave at room temperature for 24 hours, then strain through a muslin-lined sieve into a pan.","Stir in the caster sugar and heat gently until dissolved. Bring up to a tremble of a simmer and cook for 2 hours until reduced to 900ml syrup. Cool, then stir in the eau de vie or brandy.",Pour into sterilised bottles and seal. Leave for 2 days before using. Use within 1 year.,,,
67,Sea Snapper cocktail,Easy,Serves 1,Hands-on 5 min,"Forget Bloody Marys – it’s all about Sea Snappers. The classic pairing of tomato and horseradish is combined with the herby thyme, rosemary and basil flavours of Gin Mare to create this cocktail.",40ml Gin Mare,20ml Woltz’s Horseradish Vodka,20ml Fino Sherry,"10 tomatoes, grated to a pulp to leave no pieces",A pinch of salt and pepper,Finely chopped coriander,5ml Sugar syrup,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/67.jpg,"Combine the tomato pulp, coriander, salt and pepper. Measure out 20ml of this mixture.","Add the measured out tomato mixture, sugar syrup, sherry, vodka and gin to a shaker. Shake hard and strain into a cocktail glass. Garnish with a cherry tomato on a skewer, with the green stalk still attached.",,,,
68,Easy champagne cocktail,Easy,Serves 1,Ready in 5 minutes,This easy champagne cocktail makes a great party aperitif. Try it for your New Year’s Eve party for the perfect way to bring in the New Year.,½ tsp demerara sugar,A few drops of Angostura bitters,A small squeeze of lemon juice,Champagne,A strip of lemon zest (optional),,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/68.jpg,Put the demerara sugar in a champagne glass. Pour over a few drops of Angoustura bitters and a small squeeze of lemon juice.,Top with champagne and a strip of lemon zest and serve.,,,,
69,Gin and strawberry punch,Easy,Makes 1.5 litres,Hands-on time 15 mins,"The ultimate cocktail punch recipe, made with gin, fresh strawberries and sparkling wine, to share with friends at a summer party.",200ml Beefeater London Dry Gin,100ml Lillet Rouge vermouth (or any red vermouth),100ml strawberry liqueur,50ml Jo Hilditch British Framboise (or any raspberry liqueur),50ml Grant’s Morella Cherry Brandy (or kirsch),100ml lemon juice,50ml elderflower cordial,"300ml chilled jasmine tea (we like the Rare Tea Company Silver Tip Jasmine Tea, from Waitrose, delis and rareteacompany.com)",Dash of Angostura bitters,Dash of orange bitters,400ml Nyetimber sparkling English rosé (or similar sparkling rosé),400g ripe strawberries,,https://apipics.s3.amazonaws.com/coctails_api/69.jpg,"Mix all the ingredients, except the sparkling rosé and strawberries, in a large punch bowl. Stir well.","When ready to serve, add a generous amount of ice cubes, then the sparkling wine. Hull and slice the strawberries into rounds, then add. Ladle into cups and enjoy.",,,,
70,French 75,Easy,Serves 10,"Hands-on time 10 min, plus chilling","Fresh from a movie set and in to your home, just in time to party. This gin and champagne cocktail recipe  – the French 75 – is bound to get the party started.",220ml gin,80ml sugar syrup,Juice of 1 lemon,Champagne,Lemon zest to serve,,,,,,,,,https://apipics.s3.amazonaws.com/coctails_api/70.jpg,"Mix the gin with the sugar syrup and the lemon juice. Cover and chill for up to 24 hours until needed. When ready to serve, pour 3cm into champagne flutes (or just over 1cm into coupes), top with champagne and serve with a twist of lemon peel (see tip).",,,,,
71,Almond milk eggnog,Easy,Serves 2,"Hands-on time 5 min, plus cooling","When you want to whip up a Christmas drink for snuggling in front of the fire,  this almond milk eggnog is the recipe for you.",200ml unsweetened almond milk,100ml single cream,Split vanilla pod and its scraped seeds,1 small cinnamon stick,A few gratings of nutmeg,1 medium free-range egg yolk,50g caster sugar,60ml good brandy,60ml dark rum,,,,,https://apipics.s3.amazonaws.com/coctails_api/71.jpg,"Mix the almond milk with the cream, vanilla, cinnamon stick and nutmeg in a small saucepan, then warm on a low heat until steaming.","Whisk the egg yolk with the caster sugar in a bowl until pale and fluffy, then pour in the warm almond milk mixture gradually, whisking all the time.","Return the mixture to the small saucepan with the brandy and rum and warm on a gentle heat, stirring constantly, for 3-5 minutes until thickened."," Strain through a sieve, then leave to cool. Chill for at least 30 minutes, or overnight. Serve warm or chilled with extra gratings of nutmeg",,
